Group,Scenario,name,passed,actual,threshold,unit,required,message
Worked technology option,A1 — Gas district reference (not low-carbon),Heat and cooling service,True,0.0,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Worked technology option,A1 — Gas district reference (not low-carbon),Carbon intensity,False,206.1,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Worked technology option,A1 — Gas district reference (not low-carbon),Investor NPV,False,-17303576.4,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Worked technology option,A1 — Gas district reference (not low-carbon),Investor IRR,False,-0.03932949,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Worked technology option,A1 — Gas district reference (not low-carbon),Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Worked technology option,A1 — Gas district reference (not low-carbon),Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Worked technology option,A1 — Gas district reference (not low-carbon),N-1 peak capacity,False,-8.681,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Worked technology option,A3 — ASHP plus gas peak/backup,Heat and cooling service,True,0.000998,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Worked technology option,A3 — ASHP plus gas peak/backup,Carbon intensity,False,111.4,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Worked technology option,A3 — ASHP plus gas peak/backup,Investor NPV,False,-27063436.07,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Worked technology option,A3 — ASHP plus gas peak/backup,Investor IRR,,,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Worked technology option,A3 — ASHP plus gas peak/backup,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Worked technology option,A3 — ASHP plus gas peak/backup,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Worked technology option,A3 — ASHP plus gas peak/backup,N-1 peak capacity,False,-6.654,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Worked technology option,A4 — Data-centre heat plus booster and backup,Heat and cooling service,True,0.0018620000000000002,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Worked technology option,A4 — Data-centre heat plus booster and backup,Carbon intensity,False,121.80000000000001,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Worked technology option,A4 — Data-centre heat plus booster and backup,Investor NPV,False,-31799459.18,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Worked technology option,A4 — Data-centre heat plus booster and backup,Investor IRR,,,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Worked technology option,A4 — Data-centre heat plus booster and backup,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Worked technology option,A4 — Data-centre heat plus booster and backup,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Worked technology option,A4 — Data-centre heat plus booster and backup,N-1 peak capacity,False,-5.681,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Worked technology option,A5 — EfW export plus ASHP and backup,Heat and cooling service,True,0.0,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Worked technology option,A5 — EfW export plus ASHP and backup,Carbon intensity,True,69.3,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Worked technology option,A5 — EfW export plus ASHP and backup,Investor NPV,False,-22491550.1,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Worked technology option,A5 — EfW export plus ASHP and backup,Investor IRR,False,-0.09554892,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Worked technology option,A5 — EfW export plus ASHP and backup,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Worked technology option,A5 — EfW export plus ASHP and backup,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Worked technology option,A5 — EfW export plus ASHP and backup,N-1 peak capacity,False,-3.654,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Worked technology option,A6 — Four-pipe heating and cooling,Heat and cooling service,True,0.000998,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Worked technology option,A6 — Four-pipe heating and cooling,Carbon intensity,False,103.8,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Worked technology option,A6 — Four-pipe heating and cooling,Investor NPV,False,-36159269.11,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Worked technology option,A6 — Four-pipe heating and cooling,Investor IRR,,,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Worked technology option,A6 — Four-pipe heating and cooling,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Worked technology option,A6 — Four-pipe heating and cooling,Customer cooling-bill parity,True,100.0,100.0,% of individual-AC bill,True,The district cooling bill must not exceed the modelled individual-AC customer bill.
Worked technology option,A6 — Four-pipe heating and cooling,N-1 peak capacity,False,-6.654,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Route/commercial feasibility,F1 - Dense town-centre core / public appraisal,Heat and cooling service,True,0.0,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Route/commercial feasibility,F1 - Dense town-centre core / public appraisal,Carbon intensity,True,55.5,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Route/commercial feasibility,F1 - Dense town-centre core / public appraisal,Investor NPV,False,-18922909.9,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Route/commercial feasibility,F1 - Dense town-centre core / public appraisal,Investor IRR,,,0.035,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Route/commercial feasibility,F1 - Dense town-centre core / public appraisal,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Route/commercial feasibility,F1 - Dense town-centre core / public appraisal,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Route/commercial feasibility,F1 - Dense town-centre core / public appraisal,N-1 peak capacity,False,-4.39,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Route/commercial feasibility,F2 - Compact anchor cluster / private hurdle,Heat and cooling service,True,0.0,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Route/commercial feasibility,F2 - Compact anchor cluster / private hurdle,Carbon intensity,True,54.800000000000004,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Route/commercial feasibility,F2 - Compact anchor cluster / private hurdle,Investor NPV,False,-8111327.37,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Route/commercial feasibility,F2 - Compact anchor cluster / private hurdle,Investor IRR,,,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Route/commercial feasibility,F2 - Compact anchor cluster / private hurdle,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Route/commercial feasibility,F2 - Compact anchor cluster / private hurdle,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Route/commercial feasibility,F2 - Compact anchor cluster / private hurdle,N-1 peak capacity,False,-4.372,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Route/commercial feasibility,F3 - Extended lower-density route / reject,Heat and cooling service,True,0.0031569999999999997,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Route/commercial feasibility,F3 - Extended lower-density route / reject,Carbon intensity,True,57.3,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Route/commercial feasibility,F3 - Extended lower-density route / reject,Investor NPV,False,-23020018.62,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Route/commercial feasibility,F3 - Extended lower-density route / reject,Investor IRR,,,0.035,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Route/commercial feasibility,F3 - Extended lower-density route / reject,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Route/commercial feasibility,F3 - Extended lower-density route / reject,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Route/commercial feasibility,F3 - Extended lower-density route / reject,N-1 peak capacity,False,-4.434,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Data-centre waste heat,DC1 - Data-centre-only service stress test,Heat and cooling service,False,2.136475,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Data-centre waste heat,DC1 - Data-centre-only service stress test,Carbon intensity,True,35.1,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Data-centre waste heat,DC1 - Data-centre-only service stress test,Investor NPV,False,-7892963.55,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Data-centre waste heat,DC1 - Data-centre-only service stress test,Investor IRR,,,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Data-centre waste heat,DC1 - Data-centre-only service stress test,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Data-centre waste heat,DC1 - Data-centre-only service stress test,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Data-centre waste heat,DC1 - Data-centre-only service stress test,N-1 peak capacity,False,-7.141,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,Heat and cooling service,True,0.0,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,Carbon intensity,True,55.5,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,Investor NPV,False,-12940507.44,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,Investor IRR,,,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,N-1 peak capacity,False,-0.372,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,Heat and cooling service,True,0.0,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,Carbon intensity,True,53.6,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,Investor NPV,False,-5261616.84,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,Investor IRR,,,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,N-1 peak capacity,False,-4.024,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,Heat and cooling service,True,0.0,0.1,% of annual energy,True,Annual unmet heat and cooling must remain within the stated tolerance.
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,Carbon intensity,True,53.6,100.0,gCO2e/kWh,True,Operational heat/cooling service carbon must remain below the screening limit.
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,Investor NPV,False,-17574861.07,0.0,GBP,True,"Investor NPV includes scheme revenues, OPEX, REPEX, CAPEX and modelled grant."
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,Investor IRR,,,0.105,fraction,True,"IRR is tested against the scenario hurdle rate, not a hard-coded UI value."
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,Customer heat-bill parity,True,100.0,100.0,% of individual-gas bill,True,The district heat bill must not exceed the modelled individual-gas customer bill.
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,Customer cooling-bill parity,True,,100.0,% of individual-AC bill,False,The district cooling bill must not exceed the modelled individual-AC customer bill.
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,N-1 peak capacity,False,-4.024,0.0,MW margin,False,Peak-hour available capacity after the largest credible source/unit outage.
